artistName,albumName,albumCover,releaseDate,trackNumber
Miranda-Lambert,Drunk (And I Don't Wanna Go Home) [Acoustic],https://i.scdn.co/image/ab67616d0000b273b4ac9d3fb3e24f9746500f52,2021-09-10,1
Miranda-Lambert,Tequila Does (Remix),https://i.scdn.co/image/ab67616d0000b273015cc0a531e0c7727ad8539d,2021-07-02,1
Miranda-Lambert,They've Closed Down the Honky Tonks,https://i.scdn.co/image/ab67616d0000b273f12ae2223af10ff43cc885c4,2021-05-18,1
Ava-Max,Heaven & Hell,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7,2020-09-18,16
Ava-Max,Maybe You’re The Problem,https://i.scdn.co/image/ab67616d0000b2730d04f9f90f0bb0788357f4c6,2022-04-28,1
Ava-Max,The Motto (Remixes),https://i.scdn.co/image/ab67616d0000b27337c292068b6b893a24e12929,2022-03-25,5
Ava-Max,The Motto (Nathan Dawe Remix),https://i.scdn.co/image/ab67616d0000b273aaa3bb8d51a619f8877f697a,2022-03-11,2
Ava-Max,The Motto (Robin Schulz Remix),https://i.scdn.co/image/ab67616d0000b273f34cda00a27e436bd1ef1890,2022-02-11,2
Ava-Max,The Motto (Tiësto’s VIP Mix),https://i.scdn.co/image/ab67616d0000b27314450ca454b28c60115a842c,2021-12-17,2
Ava-Max,The Motto,https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e,2021-11-04,1
Ava-Max,Sad Boy (feat. Ava Max & Kylie Cantrall),https://i.scdn.co/image/ab67616d0000b273b8d4f87e49e73ce99261b508,2021-09-10,1
Ava-Max,EveryTime I Cry (Sigala Remix),https://i.scdn.co/image/ab67616d0000b2731d3138b9c1b8cfd58b944817,2021-07-30,2
Ava-Max,EveryTime I Cry (R3HAB Remix),https://i.scdn.co/image/ab67616d0000b27366c35113bc1d7cc638607b50,2021-07-16,2
Ava-Max,EveryTime I Cry (Pink Panda Remix),https://i.scdn.co/image/ab67616d0000b273c7958402b24251ee33c6dcad,2021-07-06,2
Ava-Max,EveryTime I Cry,https://i.scdn.co/image/ab67616d0000b27393fc5ac4fab909bf00efb02e,2021-06-08,1
Ava-Max,My Head & My Heart (Claptone Remix),https://i.scdn.co/image/ab67616d0000b273ebe0db892f330bf0838c24e7,2021-03-04,1
Ava-Max,My Head & My Heart (Claptone Remix),https://i.scdn.co/image/ab67616d0000b273ec1c8e9d41b42707dde4a429,2021-03-04,1
Ava-Max,My Head & My Heart (Acoustic),https://i.scdn.co/image/ab67616d0000b27315cde4ea1ead313f5cae0296,2021-02-11,2
Ava-Max,My Head & My Heart (Acoustic),https://i.scdn.co/image/ab67616d0000b2739e26d97114935df4e829bc76,2021-02-11,1
Ava-Max,My Head & My Heart,https://i.scdn.co/image/ab67616d0000b27368c08c2b4afb0e2b25140ad9,2021-01-29,1
Ava-Max,My Head & My Heart (Kastra Remix),https://i.scdn.co/image/ab67616d0000b2732d5a77e0f0d26b70ed17129b,2021-01-28,2
Ava-Max,My Head & My Heart (Kastra Remix),https://i.scdn.co/image/ab67616d0000b273c7c3a3f15e305fb74836530a,2021-01-28,1
Ava-Max,My Head & My Heart (Jonas Blue Remix),https://i.scdn.co/image/ab67616d0000b273d6c5553cf086cb94a974ac84,2020-12-10,2
Carla-Morrison,El Renacimiento,https://i.scdn.co/image/ab67616d0000b273aba46939bf43f54114fcb3bf,2022-04-29,11
Carla-Morrison,Amor Supremo (Desnudo),https://i.scdn.co/image/ab67616d0000b27385e420bf4b37a1fb35b0d0d7,2017-06-09,15
Carla-Morrison,Amor Supremo,https://i.scdn.co/image/ab67616d0000b27383a7b03a5d6e7049c860c6b7,2015-11-06,13
Carla-Morrison,Déjenme Llorar (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b2733bdd10e7b3df849e4a3bc928,2014-12-02,24
Carla-Morrison,Déjenme Llorar,https://i.scdn.co/image/ab67616d0000b273f71d5e056a9ac30c68906ebd,2012-03-27,14
Carla-Morrison,Déjenme Llorar,https://i.scdn.co/image/ab67616d0000b2738231959d36ba4aa8441ebd11,2012-03-27,14
Carla-Morrison,Mientras Tú Dormías,https://i.scdn.co/image/ab67616d0000b273ff55da4be76a59cab7b06f9f,2010-10-26,8
Carla-Morrison,Mientras Tú Dormías,https://i.scdn.co/image/ab67616d0000b273c08afed483a481088022917d,2010-10-26,8
Carla-Morrison,Estoy Aquí,https://i.scdn.co/image/ab67616d0000b2737f314635bf74c6a8dec9fe01,2022-02-04,1
Carla-Morrison,Los Cuatro Actos Acústicos,https://i.scdn.co/image/ab67616d0000b273c15bd96e9f8f01e0f5a93a94,2022-01-06,4
Carla-Morrison,Contigo,https://i.scdn.co/image/ab67616d0000b273f43388dd981bc19abd7b04a5,2021-09-28,1
Carla-Morrison,Obra de Arte,https://i.scdn.co/image/ab67616d0000b273fb7e100138987876c9c0acd2,2021-06-17,1
Carla-Morrison,No Me Llames,https://i.scdn.co/image/ab67616d0000b2737a9a418aa908378f6076b1da,2020-10-20,1
Carla-Morrison,Ansiedad,https://i.scdn.co/image/ab67616d0000b2738a2aa103ac849fb4d552c601,2020-09-22,1
Carla-Morrison,Disfruto (Audioiko Remix),https://i.scdn.co/image/ab67616d0000b2739134215925bae1ada6be832c,2020-07-27,1
Carla-Morrison,Desahogo,https://i.scdn.co/image/ab67616d0000b27356192723342b80b360568a7f,2020-06-30,1
Carla-Morrison,Disfruto (Audioiko Remix),https://i.scdn.co/image/ab67616d0000b273e1cf00ee7b9c7c86e0bc2581,2020-06-12,1
Carla-Morrison,Disfruto (Audioiko Remix),https://i.scdn.co/image/ab67616d0000b273cb52cf2bd3910ea05bf66fc4,2020-06-10,1
Carla-Morrison,Disfruto (Audioiko Remix),https://i.scdn.co/image/ab67616d0000b27316e14d584291085ec72bf270,2020-06-10,1
Carla-Morrison,Disfruto (Audioiko Remix),https://i.scdn.co/image/ab67616d0000b2730670be9e73d9fde72cb64b9d,2020-04-10,1
Lil-Tjay,Destined 2 Win,https://i.scdn.co/image/ab67616d0000b273d7d87bf612566d9ee76199d3,2021-04-05,21
Lil-Tjay,Destined 2 Win,https://i.scdn.co/image/ab67616d0000b2735af0305457ff290e06dcc4c2,2021-04-02,21
Lil-Tjay,Destined 2 Win,https://i.scdn.co/image/ab67616d0000b273918ddda4445b00e621d43c3e,2021-03-31,21
Lil-Tjay,State of Emergency,https://i.scdn.co/image/ab67616d0000b2734f221c0104af653803c7572a,2020-05-08,7
Lil-Tjay,State of Emergency,https://i.scdn.co/image/ab67616d0000b273725dac84e3b80c2da18884ba,2020-05-08,7
Lil-Tjay,True 2 Myself,https://i.scdn.co/image/ab67616d0000b273d2fe0b3a495888636cbed083,2019-10-11,17
Lil-Tjay,Goin Up,https://i.scdn.co/image/ab67616d0000b27328fa575fb6fdb49890202ade,2022-04-29,1
Lil-Tjay,In My Head,https://i.scdn.co/image/ab67616d0000b2731e6a9d4ce04b67a455ed6b8c,2022-04-01,1
Lil-Tjay,Vroom - The FaNaTiX,https://i.scdn.co/image/ab67616d0000b273375b7e74671dde8d4c8956db,2022-03-01,1
